title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,production_budget
M*A*S*H,,84.0,83.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Won)
BAFTAs - Film | Direction in 1971(Nominated)
BAFTAs - Film | Film in 1971(Nominated)
BAFTAs - Film | Film Editing in 1971(Nominated)
BAFTAs - Film | Soundtrack in 1971(Nominated)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1971(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",16,3,"Oscars - WRITING (Screenplay--based on material from another medium)(Won)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1971(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Direction in 1971(Nominated)
BAFTAs - Film | Film in 1971(Nominated)
BAFTAs - Film | Film Editing in 1971(Nominated)
BAFTAs - Film | Soundtrack in 1971(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",81600193.0,"$3,500,000"
Patton,,91.0,93.0,"Oscars - ACTOR(Won)
Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Won)
Oscars - SPECIAL VISUAL EFFECTS(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Nominated)",13,8,"Oscars - ACTOR(Won)
Oscars - ART DIRECTION(Won)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Won)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)","Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - SPECIAL VISUAL EFFECTS(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",62500000.0,"$12,000,000"
Tora! Tora! Tora!,,55.0,81.0,"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)
Oscars - SPECIAL VISUAL EFFECTS(Won)",5,1,Oscars - SPECIAL VISUAL EFFECTS(Won),"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)",29548291.0,"$25,000,000"
Catch-22,,81.0,76.0,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)",2,0,,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)",24911670.0,"$18,000,000"
The Molly Maguires,,90.0,62.0,Oscars - ART DIRECTION(Nominated),1,0,,Oscars - ART DIRECTION(Nominated),,"$11,000,000"
The Ballad of Cable Hogue,,94.0,81.0,,0,0,,,,"$3,716,946"
Waterloo,,30.0,83.0,"BAFTAs - Film | Art Direction in 1971(Won)
BAFTAs - Film | Cinematography in 1971(Nominated)
BAFTAs - Film | Costume Design in 1971(Won)",3,2,"BAFTAs - Film | Art Direction in 1971(Won)
BAFTAs - Film | Costume Design in 1971(Won)",BAFTAs - Film | Cinematography in 1971(Nominated),,"$25,000,000"
Beneath the Planet of the Apes,,37.0,38.0,,0,0,,,,"$3,000,000"
Beyond the Valley of the Dolls,,76.0,72.0,,0,0,,,,"$1,000,000"
Darling Lili,,40.0,69.0,"Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Song Score)(Nominated)
Oscars - MUSIC (Song--Original for the Picture)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Song - Motion Picture(Won)
Golden Globes - Actress In A Leading Role - Musical Or Comedy(Nominated)",6,1,Golden Globes - Best Original Song - Motion Picture(Won),"Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Song Score)(Nominated)
Oscars - MUSIC (Song--Original for the Picture)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Actress In A Leading Role - Musical Or Comedy(Nominated)",,"$22,000,000"
