year,category,nominee,winner
1949,Film | British Film in 1949,The Fallen Idol,True
1949,Film | British Film in 1949,Hamlet,False
1949,Film | British Film in 1949,Oliver Twist,False
1949,Film | British Film in 1949,Once A Jolly Swagman,False
1949,Film | British Film in 1949,The Red Shoes,False
1949,Film | British Film in 1949,Scott Of The Antarctic,False
1949,Film | British Film in 1949,The Small Voice,False
1949,Film | British Film in 1949,Odd Man Out,True
1949,Film | Documentary in 1949,Louisiana Story,True
1949,Film | Documentary in 1949,Farrebique,False
1949,Film | Documentary in 1949,Is Everybody Listening?,False
1949,Film | Documentary in 1949,Shadow Of The Ruhr,False
1949,Film | Documentary in 1949,Those Blasted Kids,False
1949,Film | Documentary in 1949,Three Dawns To Sydney,False
1949,Film | Documentary in 1949,The World Is Rich,True
1949,Film | Film From Any Source in 1949,The Best Years Of Our Lives,True
1949,Film | Film From Any Source in 1949,Hamlet,True
1949,Film | Film From Any Source in 1949,Crossfire,False
1949,Film | Film From Any Source in 1949,The Fallen Idol,False
1949,Film | Film From Any Source in 1949,Four Steps In The Clouds (Quattro Passi Fra Le Nuvole),False
1949,Film | Film From Any Source in 1949,Monsieur Vincent,False
1949,Film | Film From Any Source in 1949,Naked City,False
1949,Film | Film From Any Source in 1949,Paisan (Paisà),False
1949,Film | Special Award in 1949,Atomic Physics,True
1949,Film | Special Award in 1949,Divided World,False
1949,Film | Special Award in 1949,Gandhi's Funeral (Paramount British Newsreel),False
1949,Film | Special Award in 1949,Norman McLaren Abstract Reel,False
1949,Film | Special Award in 1949,Your Children's Sleep,False
1949,Film | Special Award in 1949,The Bear That Got A Peacock's Tail,False
1949,Film | Special Award in 1949,The Cat's Concerto,False
1949,Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1949,No winner awarded this year,True
1949,Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1949,Hungry Minds,False
1949,Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1949,The Winslow Boy,False
1950,Film | British Film in 1950,The Third Man,True
1950,Film | British Film in 1950,Kind Hearts And Coronets,False
1950,Film | British Film in 1950,Passport To Pimlico,False
1950,Film | British Film in 1950,The Queen Of Spades,False
1950,Film | British Film in 1950,A Run For Your Money,False
1950,Film | British Film in 1950,The Small Back Room,False
1950,Film | British Film in 1950,Whisky Galore,False
1950,Film | Documentary in 1950,Daybreak In Udi,True
1950,Film | Documentary in 1950,Circulation,False
1950,Film | Documentary in 1950,The Cornish Engine,False
1950,Film | Documentary in 1950,Drug Addict,False
1950,Film | Documentary in 1950,Island Of The Lagoon (Isole Nella Laguna),False
1950,Film | Documentary in 1950,The Liver Fluke In Great Britain,False
1950,Film | Documentary in 1950,Report On The Refugee Problem,False
1950,Film | Film From Any Source in 1950,Bicycle Thieves (Ladri Di Biciclette),True
1950,Film | Film From Any Source in 1950,Ballad Of Berlin (Berliner Ballade),False
1950,Film | Film From Any Source in 1950,The Last Stage (Ostatni Etap),False
1950,Film | Film From Any Source in 1950,The Set-Up,False
1950,Film | Film From Any Source in 1950,The Third Man,False
1950,Film | Film From Any Source in 1950,The Treasure Of Sierra Madre,False
1950,Film | Film From Any Source in 1950,The Window,False
1950,Film | Special Award in 1950,The Martin Family (La Famille Martin),True
1950,Film | Special Award in 1950,"Accidents Don't Happen, No. 5",False
1950,Film | Special Award in 1950,Dots And Loops,False
1950,Film | Special Award in 1950,A Fly About The House,False
1950,Film | Special Award in 1950,The Legend Of St Ursula,False
1950,Film | Special Award in 1950,Tale About A Soldier,False
1950,Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1950,The Search,True
1950,Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1950,Crossroads of Life (Au Carrefour De La Vie),False
