title,stars_in_movie
Avatar,"Sigourney Weaver, Sam Worthington"
Pirates of the Caribbean: At World's End,"Tom Holland, Johnny Depp"
Spectre,"Ralph Fiennes, Dave Bautista, Christoph Waltz"
The Dark Knight Rises,"Christian Bale, Liam Neeson, Joseph Gordon-Levitt, Tom Hardy, Michael Caine, Gary Oldman"
John Carter,Willem Dafoe
Spider-Man 3,"Kirsten Dunst, Willem Dafoe, Tobey Maguire"
Avengers: Age of Ultron,"Scarlett Johansson, Mark Ruffalo, Chris Evans, Robert Downey Jr., Chris Hemsworth, Samuel L. Jackson"
Harry Potter and the Half-Blood Prince,"Emma Watson, Rupert Grint, Daniel Radcliffe"
Superman Returns,Marlon Brando
Pirates of the Caribbean: Dead Man's Chest,"Tom Holland, Johnny Depp"
The Lone Ranger,"Johnny Depp, Armie Hammer"
The Chronicles of Narnia: Prince Caspian,Liam Neeson
The Avengers,"Scarlett Johansson, Mark Ruffalo, Chris Evans, Robert Downey Jr., Chris Hemsworth, Samuel L. Jackson"
Pirates of the Caribbean: On Stranger Tides,Johnny Depp
Men in Black 3,Will Smith
The Hobbit: The Battle of the Five Armies,"Benedict Cumberbatch, Ian McKellen"
The Amazing Spider-Man,"Emma Stone, Andrew Garfield"
The Hobbit: The Desolation of Smaug,"Benedict Cumberbatch, Ian McKellen"
The Golden Compass,"Nicole Kidman, Ian McKellen"
King Kong,Adrien Brody
Titanic,Leonardo DiCaprio
Captain America: Civil War,"Scarlett Johansson, Chris Evans, Robert Downey Jr., Tom Holland"
Battleship,Liam Neeson
Jurassic World,Chris Pratt
Skyfall,Ralph Fiennes
Spider-Man 2,"Kirsten Dunst, Willem Dafoe, Tobey Maguire"
Iron Man 3,"Mark Ruffalo, Robert Downey Jr., Ben Kingsley"
Alice in Wonderland,Johnny Depp
X-Men: The Last Stand,"Hugh Jackman, Ian McKellen"
Transformers: Age of Extinction,Mark Wahlberg
The Amazing Spider-Man 2,"Emma Stone, Andrew Garfield"
Cars 2,Michael Caine
Green Lantern,Ryan Reynolds
Toy Story 3,"Tom Hanks, Michael Keaton"
Terminator Salvation,"Christian Bale, Sam Worthington"
Furious 7,"Dwayne Johnson, Jason Statham"
World War Z,Brad Pitt
X-Men: Days of Future Past,"Hugh Jackman, Jennifer Lawrence, Nicholas Hoult, Ian McKellen"
Star Trek Into Darkness,"Chris Hemsworth, Benedict Cumberbatch"
Jack the Giant Slayer,"Nicholas Hoult, Ewan McGregor"
The Great Gatsby,"Leonardo DiCaprio, Tobey Maguire, Carey Mulligan"
Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Ben Kingsley"
Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford
WALL·E,Sigourney Weaver
A Christmas Carol,Gary Oldman
Jupiter Ascending,Channing Tatum
The Legend of Tarzan,"Margot Robbie, Samuel L. Jackson, Christoph Waltz"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Liam Neeson
X-Men: Apocalypse,"Hugh Jackman, Jennifer Lawrence, Nicholas Hoult"
The Dark Knight,"Christian Bale, Heath Ledger, Michael Caine, Gary Oldman"
Monsters vs Aliens,Amy Poehler
Iron Man,"Robert Downey Jr., Samuel L. Jackson"
Hugo,Ben Kingsley
Wild Wild West,Will Smith
Suicide Squad,"Will Smith, Margot Robbie"
Edge of Tomorrow,Emily Blunt
G.I. Joe: The Rise of Cobra,"Channing Tatum, Joseph Gordon-Levitt"
Inside Out,Amy Poehler
The Jungle Book,"Scarlett Johansson, Lupita Nyong'o, Ben Kingsley"
Iron Man 2,"Scarlett Johansson, Robert Downey Jr., Samuel L. Jackson"
Snow White and the Huntsman,Chris Hemsworth
Dawn of the Planet of the Apes,Gary Oldman
Captain America: The Winter Soldier,"Scarlett Johansson, Chris Evans, Samuel L. Jackson"
Shrek Forever After,"Mike Myers, Cameron Diaz"
Tomorrowland,George Clooney
The Polar Express,Tom Hanks
Independence Day: Resurgence,"Liam Hemsworth, Jeff Goldblum"
Guardians of the Galaxy,"Chris Pratt, Dave Bautista"
Interstellar,"Matt Damon, Michael Caine"
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Tom Hardy, Michael Caine"
The Hobbit: An Unexpected Journey,"Elijah Wood, Benedict Cumberbatch, Ian McKellen"
The Curious Case of Benjamin Button,Brad Pitt
X-Men: First Class,"Hugh Jackman, Jennifer Lawrence, Nicholas Hoult"
The Hunger Games: Mockingjay - Part 2,"Jennifer Lawrence, Liam Hemsworth, Josh Hutcherson"
Alice Through the Looking Glass,Johnny Depp
Shrek the Third,"Mike Myers, Cameron Diaz, Amy Poehler"
The Chronicles of Narnia: The Voyage of the Dawn Treader,Liam Neeson
Pearl Harbor,Jennifer Garner
Harry Potter and the Order of the Phoenix,"Emma Watson, Rupert Grint, Daniel Radcliffe, Ralph Fiennes, Gary Oldman"
Harry Potter and the Goblet of Fire,"Emma Watson, Rupert Grint, Daniel Radcliffe, Robert Pattinson, Ralph Fiennes, Gary Oldman"
Hancock,Will Smith
I Am Legend,Will Smith
Charlie and the Chocolate Factory,Johnny Depp
Batman Begins,"Christian Bale, Liam Neeson, Michael Caine, Gary Oldman"
X-Men Origins: Wolverine,"Ryan Reynolds, Hugh Jackman"
The Matrix Revolutions,Carrie-Anne Moss
The Matrix Reloaded,Carrie-Anne Moss
Thor: The Dark World,"Chris Evans, Natalie Portman, Chris Hemsworth"
Mad Max: Fury Road,"Nicholas Hoult, Tom Hardy"
Angels & Demons,"Tom Hanks, Ewan McGregor"
Thor,"Natalie Portman, Chris Hemsworth, Samuel L. Jackson"
Wrath of the Titans,"Ralph Fiennes, Liam Neeson, Sam Worthington"
Dark Shadows,Johnny Depp
Mission: Impossible - Rogue Nation,Tom Holland
The Wolfman,Emily Blunt
Bee Movie,"Jerry Seinfeld, Matthew Broderick"
Kung Fu Panda 2,Gary Oldman
White House Down,Channing Tatum
Flushed Away,"Hugh Jackman, Ian McKellen"
Pan,Hugh Jackman
Troy,Brad Pitt
Ghostbusters,"Chris Hemsworth, Sigourney Weaver"
Men in Black II,Will Smith
Rise of the Guardians,Hugh Jackman
Exodus: Gods and Kings,"Christian Bale, Sigourney Weaver, Ben Kingsley"
Star Trek,"Chris Hemsworth, Winona Ryder"
Spider-Man,"Kirsten Dunst, Willem Dafoe, Tobey Maguire"
G.I. Joe: Retaliation,"Dwayne Johnson, Channing Tatum"
Captain America: The First Avenger,"Chris Evans, Samuel L. Jackson"
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson
Happy Feet Two,"Brad Pitt, Matt Damon, Elijah Wood"
The Incredible Hulk,"Robert Downey Jr., Edward Norton"
The Revenant,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson"
Turbo,"Ryan Reynolds, Samuel L. Jackson"
Rango,Johnny Depp
Penguins of Madagascar,Benedict Cumberbatch
The Bourne Ultimatum,Matt Damon
The Hunger Games: Catching Fire,"Jennifer Lawrence, Liam Hemsworth, Josh Hutcherson"
War of the Worlds,Channing Tatum
Bad Boys II,Will Smith
