Actor Name
Dwayne Johnson
Ryan Reynolds
Kevin Hart
Jerry Seinfeld
Hugh Jackman
Brad Pitt
George Clooney
Nicole Kidman
Adam Sandler
Will Smith
Mariska Hargitay
Channing Tatum
Jason Statham
Mark Wahlberg
Matt Damon
John Cena
Denzel Washington
Jake Gyllenhaal
Scarlett Johansson
Joaquin Phoenix
Leonardo DiCaprio
Emma Watson
Rupert Grint
Daniel Radcliffe
Mark Ruffalo
Timothée Chalamet
Chris Evans
Robert Downey Jr.
Margot Robbie
Carrie Fisher
Christian Bale
Harrison Ford
Zoe Saldaña
Florence Pugh
Kirsten Dunst
Robert Pattinson
Tom Hanks
Mark Hamill
Ryan Gosling
Natalie Portman
Anya Taylor-Joy
Meryl Streep
Rachel McAdams
Emma Stone
Chris Pratt
Jennifer Lawrence
Chris Hemsworth
Willem Dafoe
Robert De Niro
Ralph Fiennes
Liam Neeson
Elijah Wood
Tom Holland
Tobey Maguire
Heath Ledger
Andrew Garfield
Joseph Gordon-Levitt
Zendaya
Michael Cera
Nicholas Hoult
Winona Ryder
Al Pacino
Benedict Cumberbatch
Ian McKellen
Cailee Spaeny
Tom Hardy
Lupita Nyong'o
Michael Caine
Edward Norton
Emily Blunt
Viggo Mortensen
Samuel L. Jackson
Uma Thurman
Dave Bautista
Johnny Depp
Sigourney Weaver
Ewan McGregor
Domhnall Gleeson
Michael Keaton
Matthew Broderick
Liam Hemsworth
Mike Myers
Jennifer Garner
Jeff Goldblum
Ben Kingsley
Adrien Brody
Marlon Brando
Jason Schwartzman
Morena Baccarin
Armie Hammer
Sandra Hüller
Christoph Waltz
Gary Oldman
Sam Worthington
Josh Hutcherson
Carey Mulligan
Cameron Diaz
Amy Poehler
Pedro Pascal
Carrie-Anne Moss
Keanu Reeves
Thomasin McKenzie
Mia Goth
Jesse Eisenberg
Josh Brolin
Janelle Monáe
Jamie Foxx
Steve Carell
Adam Driver
Toni Collette
Kevin Spacey
Rachel Weisz
Eddie Murphy
Paul Mescal
Tom Cruise
Jodie Foster
Daniel Craig
Shameik Moore
Jonah Hill
Saoirse Ronan
Rosamund Pike
Jacob Elordi
Justin Theroux
Laura Dern
Ana de Armas
Kate Winslet
Jim Carrey
Zach Galifianakis
Hailee Steinfeld
Daniel Kaluuya
Bill Skarsgård
Amanda Seyfried
Oscar Isaac
Rebecca Ferguson
Miles Teller
Mark Rylance
Billy Crystal
