year,category,nominee,winner,award_body
1928,ACTOR,The Noose,False,Oscars
1928,ACTOR,The Patent Leather Kid,False,Oscars
1928,ACTOR,The Last Command,True,Oscars
1928,ACTOR,The Way of All Flesh,True,Oscars
1928,ACTRESS,A Ship Comes In,False,Oscars
1928,ACTRESS,7th Heaven,True,Oscars
1928,ACTRESS,Street Angel,True,Oscars
1928,ACTRESS,Sunrise,True,Oscars
1928,ACTRESS,Sadie Thompson,False,Oscars
1928,ART DIRECTION,Sunrise,False,Oscars
1928,ART DIRECTION,The Dove,True,Oscars
1928,ART DIRECTION,Tempest,True,Oscars
1928,ART DIRECTION,7th Heaven,False,Oscars
1928,CINEMATOGRAPHY,The Devil Dancer,False,Oscars
1928,CINEMATOGRAPHY,The Magic Flame,False,Oscars
1928,CINEMATOGRAPHY,Sadie Thompson,False,Oscars
1928,CINEMATOGRAPHY,Sunrise,True,Oscars
1928,DIRECTING (Comedy Picture),Two Arabian Knights,True,Oscars
1928,DIRECTING (Comedy Picture),Speedy,False,Oscars
1928,DIRECTING (Dramatic Picture),7th Heaven,True,Oscars
1928,DIRECTING (Dramatic Picture),Sorrell and Son,False,Oscars
1928,DIRECTING (Dramatic Picture),The Crowd,False,Oscars
1928,ENGINEERING EFFECTS,,False,Oscars
1928,ENGINEERING EFFECTS,Wings,True,Oscars
1928,ENGINEERING EFFECTS,,False,Oscars
1928,OUTSTANDING PICTURE,The Racket,False,Oscars
1928,OUTSTANDING PICTURE,7th Heaven,False,Oscars
1928,OUTSTANDING PICTURE,Wings,True,Oscars
1928,UNIQUE AND ARTISTIC PICTURE,Sunrise,True,Oscars
1928,UNIQUE AND ARTISTIC PICTURE,The Crowd,False,Oscars
1928,UNIQUE AND ARTISTIC PICTURE,Chang,False,Oscars
1928,WRITING (Adaptation),The Jazz Singer,False,Oscars
1928,WRITING (Adaptation),Glorious Betsy,False,Oscars
1928,WRITING (Adaptation),7th Heaven,True,Oscars
1928,WRITING (Original Story),The Last Command,False,Oscars
1928,WRITING (Original Story),Underworld,True,Oscars
1928,WRITING (Title Writing),The Private Life of Helen of Troy,False,Oscars
1928,WRITING (Title Writing),,True,Oscars
1928,WRITING (Title Writing),,False,Oscars
1928,SPECIAL AWARD,The Jazz Singer,True,Oscars
1928,SPECIAL AWARD,The Circus,True,Oscars
1929,ACTOR,Thunderbolt,False,Oscars
1929,ACTOR,In Old Arizona,True,Oscars
1929,ACTOR,Alibi,False,Oscars
1929,ACTOR,The Valiant,False,Oscars
1929,ACTOR,The Patriot,False,Oscars
1929,ACTRESS,Madame X,False,Oscars
1929,ACTRESS,The Barker,False,Oscars
1929,ACTRESS,The Letter,False,Oscars
1929,ACTRESS,The Divine Lady,False,Oscars
1929,ACTRESS,The Broadway Melody,False,Oscars
1929,ACTRESS,Coquette,True,Oscars
1929,ART DIRECTION,The Patriot,False,Oscars
1929,ART DIRECTION,The Bridge of San Luis Rey,True,Oscars
1929,ART DIRECTION,Dynamite,False,Oscars
1929,ART DIRECTION,Alibi,False,Oscars
1929,ART DIRECTION,The Awakening,False,Oscars
1929,ART DIRECTION,Street Angel,False,Oscars
1929,CINEMATOGRAPHY,Our Dancing Daughters,False,Oscars
1929,CINEMATOGRAPHY,White Shadows in the South Seas,True,Oscars
1929,CINEMATOGRAPHY,In Old Arizona,False,Oscars
1929,CINEMATOGRAPHY,Four Devils,False,Oscars
1929,CINEMATOGRAPHY,Street Angel,False,Oscars
1929,CINEMATOGRAPHY,The Divine Lady,False,Oscars
1929,DIRECTING,Madame X,False,Oscars
1929,DIRECTING,The Broadway Melody,False,Oscars
1929,DIRECTING,In Old Arizona,False,Oscars
1929,DIRECTING,The Divine Lady,True,Oscars
1929,DIRECTING,Drag,False,Oscars
1929,DIRECTING,Weary River,False,Oscars
1929,DIRECTING,The Patriot,False,Oscars
1929,OUTSTANDING PICTURE,Alibi,False,Oscars
1929,OUTSTANDING PICTURE,In Old Arizona,False,Oscars
1929,OUTSTANDING PICTURE,The Broadway Melody,True,Oscars
1929,OUTSTANDING PICTURE,Hollywood Revue,False,Oscars
1929,OUTSTANDING PICTURE,The Patriot,False,Oscars
1929,WRITING,In Old Arizona,False,Oscars
1929,WRITING,The Valiant,False,Oscars
1929,WRITING,The Cop,False,Oscars
1929,WRITING,The Leatherneck,False,Oscars
1929,WRITING,Sal of Singapore,False,Oscars
1929,WRITING,Skyscraper,False,Oscars
1929,WRITING,The Last of Mrs. Cheyney,False,Oscars
1929,WRITING,The Patriot,True,Oscars
1929,WRITING,Our Dancing Daughters,False,Oscars
1929,WRITING,A Woman of Affairs,False,Oscars
1929,WRITING,Wonder of Women,False,Oscars
1930,ACTOR,Disraeli,True,Oscars
1930,ACTOR,The Green Goddess,False,Oscars
1930,ACTOR,The Big House,False,Oscars
1930,ACTOR,The Big Pond,False,Oscars
1930,ACTOR,The Love Parade,False,Oscars
1930,ACTOR,Bulldog Drummond,False,Oscars
1930,ACTOR,Condemned,False,Oscars
1930,ACTOR,The Rogue Song,False,Oscars
1930,ACTRESS,The Devil's Holiday,False,Oscars
1930,ACTRESS,Sarah and Son,False,Oscars
1930,ACTRESS,Anna Christie,False,Oscars
1930,ACTRESS,Romance,False,Oscars
1930,ACTRESS,The Divorcee,True,Oscars
1930,ACTRESS,Their Own Desire,False,Oscars
1930,ACTRESS,The Trespasser,False,Oscars
1930,ART DIRECTION,Bulldog Drummond,False,Oscars
1930,ART DIRECTION,King of Jazz,True,Oscars
1930,ART DIRECTION,The Love Parade,False,Oscars
1930,ART DIRECTION,Sally,False,Oscars
1930,ART DIRECTION,The Vagabond King,False,Oscars
1930,CINEMATOGRAPHY,All Quiet on the Western Front,False,Oscars
1930,CINEMATOGRAPHY,Anna Christie,False,Oscars
1930,CINEMATOGRAPHY,Hell's Angels,False,Oscars
1930,CINEMATOGRAPHY,The Love Parade,False,Oscars
1930,CINEMATOGRAPHY,With Byrd at the South Pole,True,Oscars
1930,DIRECTING,Anna Christie,False,Oscars
1930,DIRECTING,Romance,False,Oscars
1930,DIRECTING,The Divorcee,False,Oscars
1930,DIRECTING,The Love Parade,False,Oscars
1930,DIRECTING,All Quiet on the Western Front,True,Oscars
1930,DIRECTING,Hallelujah,False,Oscars
1930,OUTSTANDING PRODUCTION,All Quiet on the Western Front,True,Oscars
1930,OUTSTANDING PRODUCTION,The Big House,False,Oscars
1930,OUTSTANDING PRODUCTION,Disraeli,False,Oscars
1930,OUTSTANDING PRODUCTION,The Divorcee,False,Oscars
1930,OUTSTANDING PRODUCTION,The Love Parade,False,Oscars
1930,SOUND RECORDING,The Big House,True,Oscars
1930,SOUND RECORDING,The Case of Sergeant Grischa,False,Oscars
1930,SOUND RECORDING,The Love Parade,False,Oscars
1930,SOUND RECORDING,Raffles,False,Oscars
1930,SOUND RECORDING,Song of the Flame,False,Oscars
1930,WRITING,All Quiet on the Western Front,False,Oscars
1930,WRITING,The Big House,True,Oscars
1930,WRITING,Disraeli,False,Oscars
1930,WRITING,The Divorcee,False,Oscars
1930,WRITING,Street of Chance,False,Oscars
1931,ACTOR,A Free Soul,True,Oscars
1931,ACTOR,Skippy,False,Oscars
1931,ACTOR,Cimarron,False,Oscars
1931,ACTOR,The Royal Family of Broadway,False,Oscars
1931,ACTOR,The Front Page,False,Oscars
1931,ACTRESS,Morocco,False,Oscars
1931,ACTRESS,Min and Bill,True,Oscars
1931,ACTRESS,Cimarron,False,Oscars
1931,ACTRESS,Holiday,False,Oscars
1931,ACTRESS,A Free Soul,False,Oscars
1931,ART DIRECTION,Cimarron,True,Oscars
1931,ART DIRECTION,Just Imagine,False,Oscars
1931,ART DIRECTION,Morocco,False,Oscars
1931,ART DIRECTION,Svengali,False,Oscars
1931,ART DIRECTION,Whoopee!,False,Oscars
1931,CINEMATOGRAPHY,Cimarron,False,Oscars
1931,CINEMATOGRAPHY,Morocco,False,Oscars
1931,CINEMATOGRAPHY,The Right to Love,False,Oscars
1931,CINEMATOGRAPHY,Svengali,False,Oscars
1931,CINEMATOGRAPHY,Tabu,True,Oscars
