primaryTitle,originalTitle,genres,critic_score,audience_score
"Hamlet, Prince of Denmark",hamlet,Drama,100%,91%
Carmen,carmen,,78%,
Oliver Twist,oliver twist,Drama,,
Macbeth,macbeth,"Crime,Drama",,
Macbeth,macbeth,"Crime,Drama",80%,73%
The Prisoner of Zenda,the prisoner of zenda,Adventure,,
Robin Hood,robin hood,Adventure,,
Aftermath,aftermath,Drama,82%,80%
Anna Karenina,anna karenina,Drama,,70%
Born Again,born again,Drama,,
Cinderella,cinderella,"Drama,Fantasy",98%,80%
The Crucible,the crucible,"Drama,Romance",,
Dope,dope,Drama,,
Nightmare,nightmare,,,50%
The Pit,the pit,Drama,,38%
Samson,samson,Drama,,40%
The Spy,the spy,"Drama,War",,
The Thief,the thief,Drama,,
The Three Musketeers,the three musketeers,Drama,,
Vendetta,vendetta,Drama,,
Wildflower,wildflower,"Drama,Romance",63%,93%
The Woman in Black,the woman in black,"Drama,Romance",100%,78%
Alice in Wonderland,alice in wonderland,"Adventure,Family,Fantasy",,
The Birth of a Nation,the birth of a nation,"Drama,War",91%,47%
The Boss,the boss,Drama,,
The Dictator,the dictator,"Adventure,Romance",,
The Dictator,the dictator,"Adventure,Romance",56%,44%
An Eye for an Eye,an eye for an eye,Drama,,
Fatherhood,fatherhood,Western,,
The Fifth Commandment,the fifth commandment,Drama,,25%
Four Feathers,four feathers,Drama,,100%
The Lamb,the lamb,"Adventure,Comedy,Western",,
The Quest,the quest,"Action,Adventure,Drama",,
The Raven,the raven,"Biography,Drama",,41%
The Red Circle,the red circle,Drama,96%,92%
Rumpelstiltskin,rumpelstiltskin,Fantasy,,
Scandal,scandal,Drama,,
Vanity Fair,vanity fair,Drama,51%,50%
The Vow,the vow,Drama,,
The Way Back,the way back,Crime,74%,72%
Ambition,ambition,Drama,,
The Beast,the beast,"Comedy,Drama,Romance",,
Black Friday,black friday,"Drama,History",100%,52%
The Challenge,the challenge,Drama,,60%
The Challenge,the challenge,Drama,,35%
The Deserter,the deserter,"Adventure,Western",,
The Deserter,the deserter,"Adventure,Western",,
Desperation,driven,Drama,64%,62%
The Devil's Double,the devil's double,Western,55%,64%
Iris,iris,"Drama,Romance",,
The Iron Claw,the iron claw,"Action,Adventure",100%,100%
King Lear,king lear,Drama,,
The Kiss,the kiss,"Comedy,Drama",,
Motherhood,motherhood,Drama,20%,16%
The Net,the net,"Crime,Drama",,
The Net,the net,"Crime,Drama",43%,44%
The Other Side of the Door,the other side of the door,Romance,36%,29%
The Patriot,the patriot,Western,100%,58%
The Patriot,the patriot,Western,,0%
Playing with Fire,playing with fire,Drama,,50%
Powder,powder,"Drama,War",50%,69%
Redeeming Love,redeeming love,Drama,11%,95%
Romeo and Juliet,romeo and juliet,Drama,,
She,she,"Fantasy,Sci-Fi",,24%
Sherlock Holmes,sherlock holmes,"Crime,Mystery",,
Vice Versa,vice versa,"Comedy,Fantasy",,40%
The Witch,the witch,Drama,,
The Clock,the clock,Comedy,100%,83%
A Doll's House,a doll's house,Drama,,
Down to Earth,down to earth,"Comedy,Romance",,
Easy Money,easy money,Drama,,
Envy,envy,Drama,,15%
Fighting Mad,fighting mad,"Drama,Western",,
Glory,glory,"Comedy,Drama",,
Great Expectations,great expectations,Drama,,
The Hand That Rocks the Cradle,the hand that rocks the cradle,Drama,66%,61%
House of Cards,house of cards,Drama,,
Jack and the Beanstalk,jack and the beanstalk,Fantasy,,72%
A Little Princess,a little princess,Drama,,100%
Love Letters,love letters,"Drama,Mystery",,
Magic,magic,,87%,64%
The Midnight Man,the midnight man,"Crime,Drama",,
Pride,pride,Drama,47%,72%
The Rescue,the rescue,Drama,,
The Rescue,the rescue,Drama,,68%
The Scarlet Letter,the scarlet letter,Drama,,
The Scarlet Letter,the scarlet letter,Drama,,36%
The Scarlet Pimpernel,the scarlet pimpernel,Adventure,,
Tom Sawyer,tom sawyer,"Adventure,Comedy,Drama",,
The Awakening,the awakening,Drama,,43%
The Blue Bird,the blue bird,"Family,Fantasy",,
The Claim,the claim,Drama,62%,48%
The Eagle,the eagle,"Crime,Thriller,Western",83%,71%
The House of Mirth,the house of mirth,Drama,82%,72%
Kiss or Kill,kiss or kill,"Crime,Drama",83%,76%
The Lie,the lie,Drama,74%,48%
Little Women,little women,"Drama,Family,Romance",,
The Mask,the mask,"Comedy,Drama",67%,
Midnight Madness,midnight madness,Mystery,,70%
Missing,missing,"Drama,War",,56%
Neighbors,neighbors,"Comedy,Drama",,
No Man's Land,no man's land,"Drama,War",93%,92%
Othello,othello,"Drama,Romance",,
The Other Woman,the other woman,Drama,,
The Other Woman,the other woman,Drama,,
Over the Top,over the top,"Drama,War",32%,49%
Resurrection,resurrection,Drama,,
Revenge,revenge,Western,0%,12%
Treasure Island,treasure island,"Adventure,Drama",82%,
Vengeance,vengeance,Drama,,
Atonement,atonement,"Drama,Romance",83%,80%
The Best Man,the best man,"Adventure,Comedy",72%,86%
Deliverance,deliverance,"Biography,Drama",89%,82%
Fool's Gold,fool's gold,Drama,,
Forbidden,forbidden,Drama,,
Greased Lightning,greased lightning,Comedy,,52%
Loot,loot,"Crime,Drama",,32%
The Pest,the pest,"Comedy,Drama",4%,67%
The Secret Garden,the secret garden,Drama,89%,80%
Stepping Out,stepping out,Drama,,
Thieves,thieves,"Crime,Drama",,
The Confession,the confession,Drama,,92%
Devotion,devotion,Drama,,
Earthbound,earthbound,"Crime,Drama",,
The Hound of the Baskervilles,the hound of the baskervilles,"Crime,Horror,Mystery",,
The Hound of the Baskervilles,the hound of the baskervilles,"Crime,Horror,Mystery",,69%
Huckleberry Finn,huckleberry finn,"Comedy,Drama",,38%
The Last of the Mohicans,the last of the mohicans,"Action,Adventure,Drama",,
The Lost City,the lost city,"Action,Adventure",79%,83%
Risky Business,risky business,Drama,,
Voices,voices,Drama,,29%
What Women Want,what women want,Drama,54%,54%
Wuthering Heights,wuthering heights,Drama,31%,66%
The Barbarian,the barbarian,Drama,,
Black Beauty,black beauty,Drama,,
Black Sheep,black sheep,Western,71%,53%
Cold Steel,cold steel,"Action,Drama",,11%
The Fighter,the fighter,Drama,91%,89%
First Love,first love,"Comedy,Romance",,
Fool's Paradise,fool's paradise,Romance,,
The Four Feathers,the four feathers,"Adventure,Drama,Romance",42%,65%
Habit,habit,Drama,75%,62%
High Heels,high heels,Drama,,
Hush,hush,"Drama,Romance",,
Idle Hands,idle hands,Drama,16%,58%
The Killer,the killer,Western,,
Leap Year,leap year,Comedy,,50%
Little Italy,little italy,"Comedy,Romance",,
Made in Heaven,made in heaven,"Comedy,Romance",,
Nobody's Fool,nobody's fool,Comedy,,
The Oath,the oath,Drama,75%,61%
Salvage,salvage,Drama,86%,20%
Shame,shame,Drama,65%,88%
Stranger Than Fiction,stranger than fiction,"Action,Drama",73%,85%
Barb Wire,barb wire,Western,28%,14%
Confidence,confidence,Comedy,69%,70%
Glass Houses,glass houses,"Comedy,Romance",,
Grandma's Boy,grandma's boy,"Comedy,Family",15%,85%
Gun Shy,gun shy,"Comedy,Western",26%,36%
Handle with Care,handle with care,Comedy,,
Head Over Heels,head over heels,Comedy,90%,92%
Head Over Heels,head over heels,Comedy,,
The Infidel,the infidel,Drama,59%,45%
Kissed,kissed,"Comedy,Romance",68%,67%
Kisses,kisses,"Comedy,Romance",,86%
Making the Grade,making the grade,,,54%
Nobody,nobody,"Drama,Mystery",,
Phantom,phantom,"Drama,Romance",,
Rob Roy,rob roy,Adventure,,
The Seventh Day,the seventh day,"Drama,Romance",,
Skin Deep,skin deep,"Crime,Drama",,
Sky High,sky high,"Action,Drama,Romance",,56%
Sonny,sonny,Drama,21%,41%
Speed,speed,"Action,Drama",,62%
Call of the Wild,call of the wild,Adventure,,100%
The Fog,the fog,Drama,,
The Fog,the fog,Drama,4%,19%
Fury,fury,"Adventure,Drama",,
Gossip,gossip,Drama,28%,47%
Lights Out,lights out,"Crime,Drama",,
The Love Letter,the love letter,"Crime,Drama",33%,38%
Luck,luck,"Action,Comedy,Sport",43%,38%
New Year's Eve,sylvester,Drama,,90%
The Ten Commandments,the ten commandments,"Biography,Drama,History",,
The Tie That Binds,the tie that binds,Drama,8%,32%
White Tiger,white tiger,Drama,,58%
White Tiger,white tiger,Drama,,
The Wild Party,the wild party,"Comedy,Drama",,
Against All Odds,against all odds,Western,64%,46%
The Age of Innocence,the age of innocence,Drama,,33%
The Age of Innocence,the age of innocence,Drama,88%,75%
The Bedroom Window,the bedroom window,Mystery,72%,50%
Butterfly,butterfly,"Drama,Romance",,
Hit and Run,hit and run,"Sport,Western",,16%
Manhattan,manhattan,"Adventure,Comedy,Romance",94%,92%
Michael,michael,"Drama,Romance",,
Peter Pan,peter pan,"Adventure,Family,Fantasy",,50%
Sundown,sundown,Western,,9%
Teeth,teeth,Western,80%,45%
Accused,accused,Drama,100%,
Bad Company,bad company,"Drama,Romance",,
Before Midnight,before midnight,Drama,,
Blue Blood,blue blood,Drama,,
Boy,boy,Drama,88%,86%
Braveheart,braveheart,Western,,
The Circle,the circle,"Comedy,Drama",,
Cobra,cobra,"Drama,Romance",18%,43%
Cymbeline,cymbeline,,,
The Freshman,the freshman,"Comedy,Family,Romance",95%,78%
The Freshman,the freshman,"Comedy,Family,Romance",94%,61%
The Live Wire,the live wire,"Comedy,Romance",,
Marry Me,marry me,Comedy,,
My Son,my son,"Drama,Romance",,80%
The Phantom of the Opera,the phantom of the opera,"Horror,Music",33%,84%
The Promised Land,the promised land,,,92%
Quick Change,quick change,Drama,84%,71%
Siege,siege,"Drama,Romance",,
The Verdict,the verdict,Mystery,,
The Verdict,the verdict,Mystery,88%,88%
Welcome Home,welcome home,"Comedy,Drama",,
White Fang,white fang,"Adventure,Family,Western",,14%
The Boy Friend,the boy friend,"Comedy,Romance",,
The Boy Friend,the boy friend,"Comedy,Romance",88%,68%
The Great Gatsby,the great gatsby,Drama,52%,
