title,awards_all,nomination_count,award_count,awards_won,awards_nominated
" Remains of the Day, The","Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",5,0,,"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)"
 Roma (1972),Golden Globes - Foreign Film - Foreign Language(Nominated),1,0,,Golden Globes - Foreign Film - Foreign Language(Nominated)
"$1,000 a Minute",Oscars - SOUND RECORDING(Nominated),1,0,,Oscars - SOUND RECORDING(Nominated)
"$1,000,000 Duck","Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",2,0,,"Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)"
'38',Oscars - FOREIGN LANGUAGE FILM(Nominated),1,0,,Oscars - FOREIGN LANGUAGE FILM(Nominated)
'Crocodile' Dundee,Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated),1,0,,Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)
'Round Midnight,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",4,1,Oscars - MUSIC (Original Score)(Won),"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)"
"'night, Mother",Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
(500) Days of Summer,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)"
(A) Torzija [(A) Torsion],Oscars - SHORT FILM (Live Action)(Nominated),1,0,,Oscars - SHORT FILM (Live Action)(Nominated)
