title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
hamlet,Drama,100%,91%,"Oscars - ACTOR (Won)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Black-and-White) (Won)
Oscars - COSTUME DESIGN (Black-and-White) (Won)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - BEST MOTION PICTURE (Won)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Dramatic Score) (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
BAFTAs - Film | British Film in 1949 (Nominated)
BAFTAs - Film | Film From Any Source in 1949 (Won)",15,5,"Oscars - ACTOR (Won)
Oscars - ART DIRECTION (Black-and-White) (Won)
Oscars - COSTUME DESIGN (Black-and-White) (Won)
Oscars - BEST MOTION PICTURE (Won)
BAFTAs - Film | Film From Any Source in 1949 (Won)","Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Dramatic Score) (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)
BAFTAs - Film | British Film in 1949 (Nominated)","$22,493,727"
carmen,,78%,,"Oscars - FOREIGN LANGUAGE FILM (Nominated)
BAFTAs - Film | Foreign Language Film in 1985 (Won)
BAFTAs - Film | Score For A Film in 1985 (Nominated)
BAFTAs - Film | Sound in 1985 (Nominated)
BAFTAs - Film | Foreign Language Film in 1986 (Nominated)
BAFTAs - Film | Sound in 1986 (Nominated)",6,1,BAFTAs - Film | Foreign Language Film in 1985 (Won),"Oscars - FOREIGN LANGUAGE FILM (Nominated)
BAFTAs - Film | Score For A Film in 1985 (Nominated)
BAFTAs - Film | Sound in 1985 (Nominated)
BAFTAs - Film | Foreign Language Film in 1986 (Nominated)
BAFTAs - Film | Sound in 1986 (Nominated)",
oliver twist,Drama,,,BAFTAs - Film | British Film in 1949 (Nominated),1,0,,BAFTAs - Film | British Film in 1949 (Nominated),"$26,670,920"
macbeth,"Crime,Drama",,,BAFTAs - Film | Anthony Asquith Memorial Award in 1973 (Nominated),1,0,,BAFTAs - Film | Anthony Asquith Memorial Award in 1973 (Nominated),
the prisoner of zenda,Adventure,,,"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Scoring) (Nominated)",2,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Scoring) (Nominated)",
robin hood,Adventure,,,Oscars - MUSIC (Song) (Nominated),1,0,,Oscars - MUSIC (Song) (Nominated),"$322,459,006"
aftermath,Drama,82%,80%,,0,0,,,
anna karenina,Drama,,70%,"Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Won)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - PRODUCTION DESIGN (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",5,1,Oscars - COSTUME DESIGN (Won),"Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - PRODUCTION DESIGN (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$71,004,627"
born again,Drama,,,,0,0,,,
cinderella,"Drama,Fantasy",98%,80%,"Oscars - MUSIC (Scoring of a Musical Picture) (Nominated)
Oscars - MUSIC (Song) (Nominated)
Oscars - SOUND RECORDING (Nominated)
Oscars - COSTUME DESIGN (Nominated)
BAFTAs - Film | Costume Design in 2016 (Nominated)",5,0,,"Oscars - MUSIC (Scoring of a Musical Picture) (Nominated)
Oscars - MUSIC (Song) (Nominated)
Oscars - SOUND RECORDING (Nominated)
Oscars - COSTUME DESIGN (Nominated)
BAFTAs - Film | Costume Design in 2016 (Nominated)","$542,351,353"
the crucible,"Drama,Romance",,,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)",2,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Screenplay Based on Material Previously Produced or Published) (Nominated)",
dope,Drama,,,,0,0,,,"$18,190,831"
nightmare,,,50%,,0,0,,,
the pit,Drama,,38%,,0,0,,,
samson,Drama,,40%,,0,0,,,
the spy,"Drama,War",,,,0,0,,,
the thief,Drama,,,"Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - FOREIGN LANGUAGE FILM (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)
Golden Globes - Cinematography - Black And White (Nominated)",7,0,,"Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture) (Nominated)
Oscars - FOREIGN LANGUAGE FILM (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)
Golden Globes - Cinematography - Black And White (Nominated)",
