year,category,winner,nominee
1944,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,For Whom The Bell Tolls
1944,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,For Whom The Bell Tolls
1944,Best Director - Motion Picture,True,The Song Of Bernadette
1944,Picture,True,The Song Of Bernadette
1944,Actress In A Leading Role,True,The Song Of Bernadette
1944,Actor In A Leading Role,True,Watch On The Rhine
1945,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,Mrs. Parkington
1945,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Going My Way
1945,Best Director - Motion Picture,True,Going My Way
1945,Picture,True,Going My Way
1945,Actress In A Leading Role,True,Gaslight
1945,Actor In A Leading Role,True,Wilson
1946,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,The Picture of Dorian Gray
1946,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,A Medal For Benny
1946,Best Director - Motion Picture,True,The Lost Weekend
1946,Promoting International Understanding,True,The House I Live In
1946,Picture,True,The Lost Weekend
1946,Actress In A Leading Role,True,The Bells of St. Mary's
1946,Actor In A Leading Role,True,The Lost Weekend
1947,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,The Razor's Edge
1947,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,The Razor's Edge
1947,Best Director - Motion Picture,True,It's A Wonderful Life
1947,Promoting International Understanding,True,The Last Chance
1947,Special Achievement Award,False,The Best Years Of Our Lives
1947,Picture,True,The Best Years Of Our Lives
1947,Actress In A Leading Role,True,Sister Kenny
1947,Actor In A Leading Role,True,The Yearling
1948,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,Gentleman's Agreement
1948,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Miracle On 34th Street
1948,Best Director - Motion Picture,True,Gentleman's Agreement
1948,Best Screenplay - Motion Picture,True,Miracle On 34th Street
1948,Best Original Score - Motion Picture,True,Life With Father
1948,Special Achievement Award,False,Bambi
1948,New Star Of The Year - Actress,True,That Hagen Girl
1948,New Star Of The Year - Actor,True,Kiss Of Death
1948,Picture,True,Gentleman's Agreement
1948,Juvenile Performance,True,Gentleman's Agreement
1948,Actress In A Leading Role,True,Mourning Becomes Electra
1948,Actor In A Leading Role,True,A Double Life
1948,Cinematography,True,Black Narcissus
1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,I Remember Mama
1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,The Treasure of the Sierra Madre
1949,Best Director - Motion Picture,True,The Treasure of the Sierra Madre
1949,Best Screenplay - Motion Picture,True,The Search
1949,Best Original Score - Motion Picture,True,The Red Shoes
1949,Promoting International Understanding,True,The Search
1949,Picture,True,Johnny Belinda
1949,Picture,True,The Treasure of the Sierra Madre
1949,Juvenile Performance,True,The Search
1949,Actress In A Leading Role,True,Johnny Belinda
1949,Actor In A Leading Role,True,Hamlet (1948)
1949,Foreign Film - English Language,True,Hamlet (1948)
1949,Cinematography,True,The Pearl
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,All The King's Men
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,The Heiress
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Battleground
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,Intruder In The Dust
1950,Best Director - Motion Picture,True,All The King's Men
1950,Best Director - Motion Picture,False,The Heiress
1950,Best Screenplay - Motion Picture,True,Battleground
1950,Best Screenplay - Motion Picture,False,Rope of Sand
1950,Best Motion Picture - Foreign Language,True,"Italy, Vittorio De Sica"
1950,Best Motion Picture - Foreign Language,False,"United Kingdom, Carol Reed"
