title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
Love Story,,63.0,75.0,"Oscars - ACTOR(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Nominated)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)
Golden Globes - Best Original Score - Motion Picture(Won)",14,6,"Oscars - MUSIC (Original Score)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - ACTOR(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",136397186.0
Airport,,75.0,54.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",14,2,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",100489150.0
M*A*S*H,,84.0,83.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Won)
BAFTAs - Film | Direction in 1971(Nominated)
BAFTAs - Film | Film in 1971(Nominated)
BAFTAs - Film | Film Editing in 1971(Nominated)
BAFTAs - Film | Soundtrack in 1971(Nominated)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1971(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",16,3,"Oscars - WRITING (Screenplay--based on material from another medium)(Won)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1971(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Direction in 1971(Nominated)
BAFTAs - Film | Film in 1971(Nominated)
BAFTAs - Film | Film Editing in 1971(Nominated)
BAFTAs - Film | Soundtrack in 1971(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",81600193.0
Patton,,91.0,93.0,"Oscars - ACTOR(Won)
Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Won)
Oscars - SPECIAL VISUAL EFFECTS(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Nominated)",13,8,"Oscars - ACTOR(Won)
Oscars - ART DIRECTION(Won)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Won)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)","Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - SPECIAL VISUAL EFFECTS(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",62500000.0
The Aristocats,,64.0,70.0,,0,0,,,191000000.0
Woodstock,,100.0,92.0,"Oscars - DOCUMENTARY (Feature)(Won)
Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)",3,1,Oscars - DOCUMENTARY (Feature)(Won),"Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)",34699266.0
Little Big Man,,91.0,87.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Anthony Asquith Memorial Award in 1972(Nominated)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1972(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",4,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Anthony Asquith Memorial Award in 1972(Nominated)
BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1972(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",31559552.0
Ryan's Daughter,,47.0,73.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - ACTRESS(Nominated)
Oscars - CINEMATOGRAPHY(Won)
Oscars - SOUND(Nominated)
BAFTAs - Film | Art Direction in 1971(Nominated)
BAFTAs - Film | Cinematography in 1971(Nominated)
BAFTAs - Film | Costume Design in 1971(Nominated)
BAFTAs - Film | Direction in 1971(Nominated)
BAFTAs - Film | Film in 1971(Nominated)
BAFTAs - Film | Film Editing in 1971(Nominated)
BAFTAs - Film | Soundtrack in 1971(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",14,3,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)","Oscars - ACTRESS(Nominated)
Oscars - SOUND(Nominated)
BAFTAs - Film | Art Direction in 1971(Nominated)
BAFTAs - Film | Cinematography in 1971(Nominated)
BAFTAs - Film | Costume Design in 1971(Nominated)
BAFTAs - Film | Direction in 1971(Nominated)
BAFTAs - Film | Film in 1971(Nominated)
BAFTAs - Film | Film Editing in 1971(Nominated)
BAFTAs - Film | Soundtrack in 1971(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",30846716.0
Tora! Tora! Tora!,,55.0,81.0,"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)
Oscars - SPECIAL VISUAL EFFECTS(Won)",5,1,Oscars - SPECIAL VISUAL EFFECTS(Won),"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - SOUND(Nominated)",29548291.0
Catch-22,,81.0,76.0,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)",2,0,,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television(Nominated)",24911670.0
