tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,url,release_date,critic_score,audience_score
tt0000886,movie,"Hamlet, Prince of Denmark",hamlet,0,1910.0,,,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0000886,movie,"Hamlet, Prince of Denmark",hamlet,0,1910.0,,,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0000886,movie,"Hamlet, Prince of Denmark",hamlet,0,1910.0,,,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0001240,movie,Hamlet,hamlet,0,1911.0,,,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0001240,movie,Hamlet,hamlet,0,1911.0,,,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0001240,movie,Hamlet,hamlet,0,1911.0,,,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0002089,movie,Carmen,carmen,0,1912.0,,,,carmen,https://www.rottentomatoes.com/m/carmen,"Released Nov 1, 1915",78%,
tt0002089,movie,Carmen,carmen,0,1912.0,,,,carmen,https://www.rottentomatoes.com/m/carmen,"Released Nov 1, 1915",78%,
tt0002405,movie,Oliver Twist,oliver twist,0,1912.0,,,Drama,oliver twist,https://www.rottentomatoes.com/m/oliver_twist,1983,,
tt0002405,movie,Oliver Twist,oliver twist,0,1912.0,,,Drama,oliver twist,https://www.rottentomatoes.com/m/oliver_twist,1983,,
tt0002406,movie,Oliver Twist,oliver twist,0,1912.0,,,Drama,oliver twist,https://www.rottentomatoes.com/m/oliver_twist,1983,,
tt0002406,movie,Oliver Twist,oliver twist,0,1912.0,,,Drama,oliver twist,https://www.rottentomatoes.com/m/oliver_twist,1983,,
tt0002739,movie,Carmen,carmen,0,1914.0,,,,carmen,https://www.rottentomatoes.com/m/carmen,"Released Nov 1, 1915",78%,
tt0002739,movie,Carmen,carmen,0,1914.0,,,,carmen,https://www.rottentomatoes.com/m/carmen,"Released Nov 1, 1915",78%,
tt0002922,movie,Hamlet,hamlet,0,1913.0,,64.0,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0002922,movie,Hamlet,hamlet,0,1913.0,,64.0,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0002922,movie,Hamlet,hamlet,0,1913.0,,64.0,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0003108,movie,Macbeth,macbeth,0,1913.0,,50.0,"Crime,Drama",macbeth,https://www.rottentomatoes.com/m/macbeth,1954,,
tt0003108,movie,Macbeth,macbeth,0,1913.0,,50.0,"Crime,Drama",macbeth,https://www.rottentomatoes.com/m/the_tragedy_of_macbeth,"Released Dec 15, 1971",80%,73%
tt0003301,movie,The Prisoner of Zenda,the prisoner of zenda,0,1913.0,,55.0,Adventure,the prisoner of zenda,https://www.rottentomatoes.com/m/the_prisoner_of_zenda,1915,,
tt0003301,movie,The Prisoner of Zenda,the prisoner of zenda,0,1913.0,,55.0,Adventure,the prisoner of zenda,https://www.rottentomatoes.com/m/the_prisoner_of_zenda,1915,,
