year,category,nominee,winner
1928,ACTOR,The Noose,False
1928,ACTOR,The Patent Leather Kid,False
1928,ACTOR,The Last Command,True
1928,ACTOR,The Way of All Flesh,True
1928,ACTRESS,A Ship Comes In,False
1928,ACTRESS,7th Heaven,True
1928,ACTRESS,Street Angel,True
1928,ACTRESS,Sunrise,True
1928,ACTRESS,Sadie Thompson,False
1928,ART DIRECTION,Sunrise,False
1928,ART DIRECTION,The Dove,True
1928,ART DIRECTION,Tempest,True
1928,ART DIRECTION,7th Heaven,False
1928,CINEMATOGRAPHY,The Devil Dancer,False
1928,CINEMATOGRAPHY,The Magic Flame,False
1928,CINEMATOGRAPHY,Sadie Thompson,False
1928,CINEMATOGRAPHY,Sunrise,True
1928,DIRECTING (Comedy Picture),Two Arabian Knights,True
1928,DIRECTING (Comedy Picture),Speedy,False
1928,DIRECTING (Dramatic Picture),7th Heaven,True
1928,DIRECTING (Dramatic Picture),Sorrell and Son,False
1928,DIRECTING (Dramatic Picture),The Crowd,False
1928,ENGINEERING EFFECTS,,False
1928,ENGINEERING EFFECTS,Wings,True
1928,ENGINEERING EFFECTS,,False
1928,OUTSTANDING PICTURE,The Racket,False
1928,OUTSTANDING PICTURE,7th Heaven,False
1928,OUTSTANDING PICTURE,Wings,True
1928,UNIQUE AND ARTISTIC PICTURE,Sunrise,True
1928,UNIQUE AND ARTISTIC PICTURE,The Crowd,False
1928,UNIQUE AND ARTISTIC PICTURE,Chang,False
1928,WRITING (Adaptation),The Jazz Singer,False
1928,WRITING (Adaptation),Glorious Betsy,False
1928,WRITING (Adaptation),7th Heaven,True
1928,WRITING (Original Story),The Last Command,False
1928,WRITING (Original Story),Underworld,True
1928,WRITING (Title Writing),The Private Life of Helen of Troy,False
1928,WRITING (Title Writing),,True
1928,WRITING (Title Writing),,False
1928,SPECIAL AWARD,The Jazz Singer,True
1928,SPECIAL AWARD,The Circus,True
1929,ACTOR,Thunderbolt,False
1929,ACTOR,In Old Arizona,True
1929,ACTOR,Alibi,False
1929,ACTOR,The Valiant,False
1929,ACTOR,The Patriot,False
1929,ACTRESS,Madame X,False
1929,ACTRESS,The Barker,False
1929,ACTRESS,The Letter,False
1929,ACTRESS,The Divine Lady,False
1929,ACTRESS,The Broadway Melody,False
1929,ACTRESS,Coquette,True
1929,ART DIRECTION,The Patriot,False
1929,ART DIRECTION,The Bridge of San Luis Rey,True
1929,ART DIRECTION,Dynamite,False
1929,ART DIRECTION,Alibi,False
1929,ART DIRECTION,The Awakening,False
1929,ART DIRECTION,Street Angel,False
1929,CINEMATOGRAPHY,Our Dancing Daughters,False
1929,CINEMATOGRAPHY,White Shadows in the South Seas,True
1929,CINEMATOGRAPHY,In Old Arizona,False
1929,CINEMATOGRAPHY,Four Devils,False
1929,CINEMATOGRAPHY,Street Angel,False
1929,CINEMATOGRAPHY,The Divine Lady,False
1929,DIRECTING,Madame X,False
1929,DIRECTING,The Broadway Melody,False
1929,DIRECTING,In Old Arizona,False
1929,DIRECTING,The Divine Lady,True
1929,DIRECTING,Drag,False
1929,DIRECTING,Weary River,False
1929,DIRECTING,The Patriot,False
1929,OUTSTANDING PICTURE,Alibi,False
1929,OUTSTANDING PICTURE,In Old Arizona,False
1929,OUTSTANDING PICTURE,The Broadway Melody,True
1929,OUTSTANDING PICTURE,Hollywood Revue,False
1929,OUTSTANDING PICTURE,The Patriot,False
1929,WRITING,In Old Arizona,False
1929,WRITING,The Valiant,False
1929,WRITING,The Cop,False
1929,WRITING,The Leatherneck,False
1929,WRITING,Sal of Singapore,False
1929,WRITING,Skyscraper,False
1929,WRITING,The Last of Mrs. Cheyney,False
1929,WRITING,The Patriot,True
1929,WRITING,Our Dancing Daughters,False
1929,WRITING,A Woman of Affairs,False
1929,WRITING,Wonder of Women,False
1930,ACTOR,Disraeli,True
1930,ACTOR,The Green Goddess,False
1930,ACTOR,The Big House,False
1930,ACTOR,The Big Pond,False
1930,ACTOR,The Love Parade,False
1930,ACTOR,Bulldog Drummond,False
1930,ACTOR,Condemned,False
1930,ACTOR,The Rogue Song,False
1930,ACTRESS,The Devil's Holiday,False
1930,ACTRESS,Sarah and Son,False
1930,ACTRESS,Anna Christie,False
1930,ACTRESS,Romance,False
1930,ACTRESS,The Divorcee,True
1930,ACTRESS,Their Own Desire,False
1930,ACTRESS,The Trespasser,False
1930,ART DIRECTION,Bulldog Drummond,False
1930,ART DIRECTION,King of Jazz,True
1930,ART DIRECTION,The Love Parade,False
1930,ART DIRECTION,Sally,False
1930,ART DIRECTION,The Vagabond King,False
1930,CINEMATOGRAPHY,All Quiet on the Western Front,False
1930,CINEMATOGRAPHY,Anna Christie,False
1930,CINEMATOGRAPHY,Hell's Angels,False
1930,CINEMATOGRAPHY,The Love Parade,False
1930,CINEMATOGRAPHY,With Byrd at the South Pole,True
1930,DIRECTING,Anna Christie,False
1930,DIRECTING,Romance,False
1930,DIRECTING,The Divorcee,False
1930,DIRECTING,The Love Parade,False
1930,DIRECTING,All Quiet on the Western Front,True
1930,DIRECTING,Hallelujah,False
1930,OUTSTANDING PRODUCTION,All Quiet on the Western Front,True
1930,OUTSTANDING PRODUCTION,The Big House,False
1930,OUTSTANDING PRODUCTION,Disraeli,False
