title,critic_score,audience_score
Love Story,63.0,75.0
Airport,75.0,54.0
M*A*S*H,84.0,83.0
Patton,91.0,93.0
The Aristocats,,
The Aristocats,64.0,70.0
Woodstock,100.0,92.0
Little Big Man,91.0,87.0
Ryan's Daughter,47.0,73.0
Tora! Tora! Tora!,55.0,81.0
Catch-22,81.0,76.0
Scream and Scream Again,63.0,28.0
Jenny,,
... Tick... Tick... Tick...,,57.0
Beyond the Dunwich Horror,,8.0
The Dunwich Horror,29.0,29.0
Days and Nights in the Forest,100.0,97.0
The Only Game in Town,,35.0
Rider on the Rain,80.0,63.0
M*A*S*H,84.0,83.0
The Molly Maguires,90.0,62.0
The Honeymoon Killers,95.0,69.0
Start the Revolution Without Me,83.0,77.0
Patton,91.0,93.0
Zabriskie Point,64.0,74.0
End of the Road,,
King of the Grizzlies,,27.0
The Bird With the Crystal Plumage,85.0,80.0
Hercules in New York,14.0,27.0
The Butcher,100.0,84.0
Loving,,
Airport,75.0,54.0
Skullduggery,,7.0
The Boys in the Band,84.0,74.0
The Boys in the Band,90.0,87.0
The Ballad of Cable Hogue,94.0,81.0
The Liberation of L.B. Jones,63.0,92.0
The Liberation of L.B. Jones,63.0,92.0
Carry On Up the Jungle,,48.0
Bloody Mama,14.0,42.0
The Adventurers,,41.0
Adventurers,,
Woodstock,100.0,92.0
Waterloo,30.0,83.0
Count Dracula,,70.0
Gods of the Plague,83.0,47.0
Colossus: The Forbin Project,89.0,76.0
The Cockeyed Cowboys of Calico County,,55.0
Halls of Anger,,30.0
Chariots of the Gods,,42.0
A Swedish Love Story,,90.0
"Hi, Mom",73.0,55.0
Zig Zag,,
The Confession,,92.0
The Grasshopper,,
The Grasshopper,,55.0
Equinox,,
Taste the Blood of Dracula,54.0,54.0
Leo the Last,,50.0
"Tell Me That You Love Me, Junie Moon",22.0,12.0
Connecting Rooms,,
Getting Straight,33.0,41.0
Let It Be,81.0,88.0
"My Lover, My Son",,
The Delta Factor,,
Borsalino,,69.0
The Landlord,,41.0
The Landlord,93.0,79.0
One More Time,,
Suppose They Gave a War and Nobody Came?,,27.0
Too Late the Hero,57.0,70.0
Norwood,,
Beneath the Planet of the Apes,37.0,38.0
Cotton Comes to Harlem,,67.0
The Magic Garden of Stanley Sweetheart,,
Watermelon Man,88.0,70.0
Two Mules for Sister Sara,71.0,73.0
The Executioner,,
The Executioner,,30.0
Julius Caesar,,
The Vampire Doll,,
Crimes of the Future,67.0,29.0
The Invincible Six,,
The Invincible Six,,
Sleeping Beauty,,
The Cheyenne Social Club,,68.0
The Strawberry Statement,,73.0
The Strawberry Statement,,73.0
Beyond the Valley of the Dolls,76.0,72.0
The Hawaiians,,52.0
On a Clear Day You Can See Forever,100.0,75.0
A Walk in the Spring Rain,,23.0
A Bullet for Pretty Boy,,
Catch-22,81.0,76.0
Kelly's Heroes,79.0,88.0
Myra Breckinridge,27.0,35.0
Darling Lili,40.0,69.0
The Boatniks,,53.0
Lost Flight,,
Goin' Down the Road,,83.0
The Moonshine War,,36.0
And Soon the Darkness,29.0,63.0
The Games,,
Games,57.0,48.0
Which Way to the Front?,,24.0
Hello.Goodbye,,
Quackser Fortune Has a Cousin in the Bronx,,64.0
Joe,75.0,64.0
The Revolutionary,,
The Revolutionary,,
Cromwell,43.0,69.0
The Man Who Haunted Himself,,55.0
Something for Everyone,83.0,70.0
Chisum,83.0,74.0
Move,,
Rebel Rousers,,22.0
Yog -- Monster From Space,,37.0
Ann and Eve,,
Case for a Rookie Hangman,,
Performance,82.0,78.0
Diary of a Mad Housewife,82.0,81.0
Lovers and Other Strangers,100.0,75.0
Soldier Blue,38.0,71.0
WUSA,,37.0
House of Dark Shadows,43.0,70.0
The Breach,82.0,26.0
Breach,84.0,67.0
The People Next Door,,47.0
The People Next Door,,40.0
The Deep End,82.0,59.0
Angel Unchained,,16.0
Fragment of Fear,,36.0
Bed and Board,76.0,84.0
Five Easy Pieces,89.0,84.0
The Brotherhood of the Bell,,44.0
Crime and Punishment,,
Adam at 6 A.M.,,38.0
Tora! Tora! Tora!,55.0,81.0
The Baby Maker,,50.0
The Baby Maker,,50.0
Cover Me Babe,,
How Do I Love Thee?,,
Trash,,46.0
The Vampire Lovers,76.0,60.0
The American Soldier,79.0,55.0
The American Soldier,79.0,55.0
The Great White Hope,43.0,67.0
The Mind of Mr. Soames,,40.0
Girls for Mercenaries,,
C.C. and Company,,22.0
I Never Sang for My Father,100.0,83.0
The Red Circle,96.0,92.0
Little Fauss and Big Halsy,33.0,47.0
The Conformist,98.0,90.0
The Conformist,98.0,90.0
No Blade of Grass,29.0,42.0
Trog,13.0,23.0
When Dinosaurs Ruled the Earth,17.0,27.0
House of Dark Shadows,43.0,70.0
The Private Life of Sherlock Holmes,89.0,73.0
The Sidelong Glances of a Pigeon Kicker,,
The Twelve Chairs,,60.0
Three Sisters,100.0,88.0
The Owl and the Pussycat,82.0,64.0
Scrooge,,
The Phantom Tollbooth,100.0,76.0
Scars of Dracula,50.0,44.0
The Horror of Frankenstein,55.0,40.0
Ryan's Daughter,47.0,73.0
Perfect Friday,,67.0
Where's Poppa?,82.0,69.0
The Over-the-Hill Gang Rides Again,,31.0
Dirty Dingus Magee,,56.0
I Walk the Line,,69.0
Act of the Heart,,
Yousuf Khan Sher Bano,,
The Garden of the Finzi-Continis,94.0,78.0
Brewster McCloud,86.0,81.0
Gimme Shelter,94.0,91.0
Husbands,66.0,79.0
The Aristocats,,
The Aristocats,64.0,70.0
Claire's Knee,96.0,85.0
There's a Girl in My Soup,,37.0
The Wild Country,,
Wild Country,,
Puzzle of a Downfall Child,,61.0
Love Story,63.0,75.0
Alex in Wonderland,,31.0
Rio Lobo,70.0,70.0
Peau D'ane,90.0,76.0
I Love My... Wife,,
Little Big Man,91.0,87.0
There Was a Crooked Man,82.0,72.0
Loot,,32.0
Billy Jack,63.0,63.0
Fiddler on the Roof,81.0,92.0
Diamonds Are Forever,64.0,57.0
The French Connection,96.0,87.0
The French Connection,96.0,87.0
Summer of '42,79.0,73.0
Dirty Harry,89.0,90.0
The Last Picture Show,98.0,89.0
Bedknobs and Broomsticks,67.0,74.0
Sweet Sweetback's Baadasssss Song,73.0,48.0
Punishment Park,92.0,86.0
The Ski Bum,,
Zachariah,50.0,39.0
The Music Lovers,61.0,74.0
10 Rillington Place,64.0,84.0
The Last Valley,,78.0
Doctors' Wives,20.0,
King Lear,,
How to Frame a Figg,,72.0
Little Murders,71.0,80.0
Raid on Rommel,,31.0
Countess Dracula,40.0,44.0
Gas-s-s-s,,19.0
Cold Turkey,60.0,65.0
The Pursuit of Happiness,,
The Pursuit of Happiness,,33.0
Wanda,92.0,70.0
Death in Venice,80.0,
